,FIRE_YEAR,DISCOVER_1,STAT_CAU_1,CONT_DATE,FIRE_SIZE,LATITUDE,LONGITUDE,Coordinates
1282046,2010,93,Equipment Use,2010/04/03 00:00:00.000,1.0,35.258583,-84.37525,POINT (192915.2147141505 3906944.528100014)
1356528,2007,316,Debris Burning,2007/11/12 00:00:00.000,0.1,35.262533000000005,-84.29697,POINT (200054.4823787329 3907143.081736093)
1181106,2010,249,Arson,2010/09/06 00:00:00.000,9.0,35.262222200000004,-84.3322222,POINT (196845.0073044335 3907215.867958165)
1728180,2014,93,Arson,2014/04/03 00:00:00.000,16.0,35.26083333,-84.40388889,POINT (190317.1590138783 3907283.362880412)
1282668,2010,267,Arson,2010/09/24 00:00:00.000,16.0,35.267367,-84.250667,POINT (204286.0668550036 3907540.304536277)
1357459,2007,78,Missing/Undefined,2007/03/19 00:00:00.000,40.0,35.266,-84.3024,POINT (199573.1148487611 3907544.239278014)
1177032,2010,93,Debris Burning,2010/04/03 00:00:00.000,2.0,35.264166700000004,-84.3744444,POINT (193009.6290946222 3907561.630674797)
1176548,2010,92,Debris Burning,2010/04/02 00:00:00.000,0.75,35.266388899999995,-84.2980556,POINT (199969.9172658561 3907574.229457628)
1356245,2007,53,Arson,2007/02/22 00:00:00.000,0.1,35.266583000000004,-84.29912,POINT (199873.7678053446 3907598.990809417)
1357460,2007,63,Arson,2007/03/04 00:00:00.000,0.8,35.266633,-84.30221999999999,POINT (199591.8359182929 3907613.933080677)
1440816,2005,86,Arson,2005/03/27 00:00:00.000,6.5,35.2666667,-84.3016667,POINT (199642.313749907 3907615.995181179)
1441017,2005,348,Arson,2005/12/14 00:00:00.000,32.0,35.2683333,-84.2566667,POINT (203743.5984211951 3907665.448082812)
1356266,2007,53,Arson,2007/02/22 00:00:00.000,8.0,35.26755,-84.30556,POINT (199291.2710833661 3907725.817537613)
1059549,2005,267,Arson,2005/09/25 00:00:00.000,32.0,35.26777778,-84.47277778,POINT (184074.1569245041 3908271.465462183)
1517649,2011,296,Arson,,0.1,35.270517,-84.380033,POINT (192525.0383537718 3908283.62655912)
1356256,2007,55,Powerline,2007/02/24 00:00:00.000,2.0,35.274516999999996,-84.27963000000001,POINT (201676.5870711935 3908420.505459407)
1440767,2005,25,Arson,2005/01/25 00:00:00.000,1.0,35.275,-84.2683333,POINT (202706.305286099 3908440.141290617)
1281301,2009,119,Debris Burning,2009/04/29 00:00:00.000,2.0,35.267833,-84.53367,POINT (178532.5469047867 3908473.487107659)
1281523,2009,195,Structure,2009/07/14 00:00:00.000,0.1,35.27535,-84.2687,POINT (202674.2183627011 3908480.078406116)
