,FIRE_YEAR,DISCOVER_1,STAT_CAU_1,CONT_DATE,FIRE_SIZE,LATITUDE,LONGITUDE,Coordinates
25050,2007,252,Lightning,2007/09/11 00:00:00.000,5.0,36.0125,-81.74416667,POINT (432940.0261257219 3985590.94886865)
112851,1998,183,Lightning,1998/07/03 00:00:00.000,0.5,36.02166667,-81.845,POINT (423862.1378945487 3986681.80088254)
25035,2007,176,Lightning,2007/06/25 00:00:00.000,0.1,36.02222222,-81.81388889,POINT (426665.947286873 3986719.554063024)
101505,1997,247,Lightning,1997/09/04 00:00:00.000,3.0,36.03666667,-81.73833333,POINT (433486.0183563339 3988267.467220043)
34943,2009,114,Lightning,2009/04/25 00:00:00.000,2.0,36.05027778,-81.74333333,POINT (433047.1025990188 3989780.615264156)
25038,2007,187,Lightning,2007/07/10 00:00:00.000,5.0,36.08222222,-81.73361111,POINT (433949.5193389775 3993317.207177925)
358646,2005,53,Lightning,2005/02/22 00:00:00.000,0.1,36.0947,-81.8128,POINT (426831.1939246063 3994757.909363067)
1617052,2012,101,Lightning,2012/04/10 00:00:00.000,2.0,35.97148333,-81.95048333,POINT (414303.1374602442 3981203.088057016)
1021133,1996,111,Lightning,,0.1,36.005,-82.045,POINT (405820.9527408074 3985007.939880135)
516180,2006,143,Lightning,,0.5,35.89446999,-82.00361999,POINT (409424.2976653374 3972708.860916759)
31449,2008,126,Lightning,2008/05/05 00:00:00.000,0.5,35.90277778,-81.90666667,POINT (418183.0314253625 3973544.806862772)
1857608,2015,93,Lightning,2015/04/03 00:00:00.000,1.1,35.94815,-82.50855,POINT (363944.1014703122 3979249.17847258)
1796003,2015,93,Lightning,2015/04/03 00:00:00.000,2.0,35.95611111,-82.49111111,POINT (365530.5204730142 3980108.091487471)
1736921,2014,93,Lightning,2014/04/03 00:00:00.000,0.1,35.95748333,-82.50453333,POINT (364322.3556896211 3980278.891274838)
19140,2007,144,Lightning,2007/05/30 00:00:00.000,575.0,36.02027778,-82.41194444,POINT (372773.3837569023 3987119.545182711)
1006137,1993,191,Lightning,,1.0,35.9117,-82.1383,POINT (397291.3552724576 3974753.232017724)
29699,2008,219,Lightning,2008/08/06 00:00:00.000,0.5,35.92333333,-82.71555556,POINT (345224.268256278 3976804.769946775)
59320,1993,191,Lightning,1993/07/16 00:00:00.000,35.0,35.84666667,-81.87166667,POINT (421285.9953605685 3967292.421431697)
112856,1998,200,Lightning,1998/07/21 00:00:00.000,100.0,35.85166667,-81.86,POINT (422344.429856979 3967837.676004699)
59321,1993,191,Lightning,1993/07/16 00:00:00.000,12.0,35.85166667,-81.87166667,POINT (421290.9369435738 3967847.000891575)
74479,1994,116,Lightning,1994/04/26 00:00:00.000,0.4,35.89333333,-81.875,POINT (421031.2999816334 3972471.201851793)
126571,2000,165,Lightning,2000/06/14 00:00:00.000,30.0,35.89694444,-81.89277778,POINT (419430.4752660001 3972886.247778966)
28928,2008,168,Lightning,2008/06/16 00:00:00.000,0.5,35.90777778,-81.81416667,POINT (426534.9758980237 3974025.874991023)
59315,1993,163,Lightning,1993/06/13 00:00:00.000,2.0,35.91166667,-81.82833333,POINT (425260.2999586393 3974467.964295175)
59325,1993,242,Lightning,1993/09/01 00:00:00.000,16.0,35.92666667,-81.77333333,POINT (430236.1684162381 3976091.021245685)
74478,1994,116,Lightning,1994/04/26 00:00:00.000,0.2,35.93,-81.87166667,POINT (421368.4334947546 3976535.471059854)
121692,1999,228,Lightning,1999/08/17 00:00:00.000,12.0,35.93333333,-81.72166667,POINT (434902.6591942208 3976794.779210878)
74471,1994,71,Lightning,1994/03/13 00:00:00.000,13.0,35.93333333,-81.81,POINT (426934.4671074688 3976857.284957395)
112850,1998,181,Lightning,1998/07/03 00:00:00.000,2.0,35.935,-81.76166667,POINT (431295.8697734121 3977007.051529385)
1006063,1993,127,Lightning,,1.0,35.8783,-82.5283,POINT (362041.4654421819 3971528.758325694)
1620294,2012,80,Lightning,2012/03/20 00:00:00.000,8.2,35.87653333,-82.16066667,POINT (395226.7940932083 3970876.303104896)
1025710,1997,89,Lightning,,0.5,35.8917,-82.2583,POINT (386434.6770051039 3972667.655647569)
1033180,1999,113,Lightning,,0.1,35.855,-82.6083,POINT (354776.821271331 3969060.068336965)
1427918,2010,178,Lightning,2010/06/27 00:00:00.000,0.1,35.83705,-82.50951666,POINT (363666.5173905124 3966926.785131806)
1427917,2010,178,Lightning,2010/06/27 00:00:00.000,0.1,35.83123333,-82.53988333,POINT (360913.5599056741 3966324.319157599)
135388,2001,120,Lightning,2001/04/30 00:00:00.000,0.5,35.785,-82.20138889,POINT (391425.9976891532 3960767.911209185)
97510,1997,106,Lightning,1997/04/16 00:00:00.000,1.0,35.80833333,-82.225,POINT (389324.4414524167 3963382.444492099)
112855,1998,200,Lightning,1998/07/21 00:00:00.000,120.0,35.76333333,-82.07666667,POINT (402671.655457271 3958233.665040999)
5958,2005,195,Lightning,2005/07/14 00:00:00.000,0.1,35.78166667,-81.92916667,POINT (416025.0193330775 3960130.685107793)
112859,1998,203,Lightning,1998/07/22 00:00:00.000,0.5,35.795,-81.925,POINT (416415.5628498684 3961605.992464512)
112848,1998,174,Lightning,1998/06/27 00:00:00.000,2.0,35.795,-81.97166667,POINT (412198.5643093177 3961646.82005654)
112865,1998,252,Lightning,1998/09/09 00:00:00.000,2.0,35.79833333,-81.98,POINT (411449.2264864146 3962024.041877043)
112857,1998,202,Lightning,1998/07/22 00:00:00.000,0.5,35.8,-81.96833333,POINT (412505.2625221036 3962198.416726714)
19590,2007,159,Lightning,2007/06/28 00:00:00.000,820.0,35.80166667,-81.95694444,POINT (413536.1541199792 3962373.162046975)
31459,2008,198,Lightning,2008/07/16 00:00:00.000,1.5,35.815,-81.96388889,POINT (412923.233496853 3963858.195984214)
40424,2009,257,Lightning,2009/09/17 00:00:00.000,1.0,35.81611111,-81.95888889,POINT (413376.1490373155 3963977.000362876)
59324,1993,213,Lightning,1993/08/03 00:00:00.000,11.0,35.82833333,-81.93,POINT (415998.8595069484 3965307.462996751)
59317,1993,190,Lightning,1993/07/10 00:00:00.000,1.0,35.85666667,-81.97166667,POINT (412266.4657465536 3968486.668760594)
1180413,2010,212,Lightning,2010/08/01 00:00:00.000,0.8,35.8166667,-81.9572222,POINT (413527.3210231557 3964037.150797305)
1180411,2010,202,Lightning,2010/07/26 00:00:00.000,5.0,35.8286111,-81.98611109999999,POINT (410930.847366303 3965387.88528967)
1426925,2010,285,Lightning,2010/10/13 00:00:00.000,0.1,35.82893333,-81.98875,POINT (410692.845860569 3965426.030838409)
1181881,2010,286,Lightning,2010/10/13 00:00:00.000,0.1,35.8291667,-81.9888889,POINT (410680.5611009583 3965452.042228208)
25026,2007,159,Lightning,2007/07/25 00:00:00.000,5015.0,35.84,-81.89055556,POINT (419573.5006105594 3966568.344296707)
1796026,2015,198,Lightning,,1268.0,35.785,-81.99,POINT (410530.6726284623 3960554.249204275)
