# ppt,,,,,,
,MN101,MN102    ,MN101,MN102    ,MN101,MN102    
TIMESTEP,MEAN(mm/d),MEAN(mm/d),VARIANCE(mm/d^2),VARIANCE(mm/d^2),STD_DEV(mm/d),STD_DEV(mm/d)
1979-06-05T00:00:00Z,0,0,0,0,0,0
1979-06-06T00:00:00Z,0,0,0,0,0,0
1979-06-07T00:00:00Z,0,0,0,0,0,0
1979-06-08T00:00:00Z,0,0,0,0,0,0
1979-06-09T00:00:00Z,0,0,0,0,0,0
1979-06-10T00:00:00Z,0,0,0,0,0,0
1979-06-11T00:00:00Z,0,0,0,0,0,0
1979-06-12T00:00:00Z,0,0,0,0,0,0
1979-06-13T00:00:00Z,0,0,0,0,0,0
1979-06-14T00:00:00Z,0,0,0,0,0,0
1979-06-15T00:00:00Z,0,0,0,0,0,0
1979-06-16T00:00:00Z,0.89059764,0.91097206,0.5110487,0.4455222,0.7148767,0.6674745
1979-06-17T00:00:00Z,2.3706923,2.187042,1.3097371,2.0081792,1.1444374,1.4171025
1979-06-18T00:00:00Z,0.74585354,0.39827663,0.96082306,0.62378544,0.98021585,0.7898009
1979-06-19T00:00:00Z,0,0,0,0,0,0
1979-06-20T00:00:00Z,0,0,0,0,0,0
1979-06-21T00:00:00Z,0,0,0,0,0,0
1979-06-22T00:00:00Z,0,0,0,0,0,0
1979-06-23T00:00:00Z,0,0,0,0,0,0
1979-06-24T00:00:00Z,0,0,0,0,0,0
1979-06-25T00:00:00Z,0,0,0,0,0,0
1979-06-26T00:00:00Z,0,0,0,0,0,0
1979-06-27T00:00:00Z,0,0,0,0,0,0
1979-06-28T00:00:00Z,0,0,0,0,0,0
1979-06-29T00:00:00Z,0,0,0,0,0,0
1979-06-30T00:00:00Z,0,0,0,0,0,0
1979-07-01T00:00:00Z,0,0,0,0,0,0
1979-07-02T00:00:00Z,0,0,0,0,0,0
1979-07-03T00:00:00Z,0,0,0,0,0,0
1979-07-04T00:00:00Z,0,0,0,0,0,0
1979-07-05T00:00:00Z,0,0,0,0,0,0
1979-07-06T00:00:00Z,0,0,0,0,0,0
1979-07-07T00:00:00Z,0,0,0,0,0,0
1979-07-08T00:00:00Z,0,0,0,0,0,0
1979-07-09T00:00:00Z,0,0,0,0,0,0
