# ppt,,,,,,
,MN101,MN101,MN101,MN102    ,MN102    ,MN102    
TIMESTEP,MEAN(mm/d),VARIANCE(mm/d^2),STD_DEV(mm/d),MEAN(mm/d),VARIANCE(mm/d^2),STD_DEV(mm/d)
1992-12-12T00:00:00Z,0,0,0,0,0,0
1992-12-13T00:00:00Z,0.6528517,0.015287587,0.12364298,0.6528517,0.015287587,0.12364298
1992-12-14T00:00:00Z,0,0,0,0,0,0
1992-12-15T00:00:00Z,0,0,0,0,0,0
1992-12-16T00:00:00Z,17.737103,244.05087,15.622128,17.737103,244.05087,15.622128
1992-12-17T00:00:00Z,6.506593,1.6258193,1.2750762,6.506593,1.6258193,1.2750762
1992-12-18T00:00:00Z,5.218904,7.087158,2.6621718,5.218904,7.087158,2.6621718
1992-12-19T00:00:00Z,0.76528287,1.292198,1.1367488,0.76528287,1.292198,1.1367488
1992-12-20T00:00:00Z,0,0,0,0,0,0
1992-12-21T00:00:00Z,0,0,0,0,0,0
1992-12-22T00:00:00Z,0,0,0,0,0,0
1992-12-23T00:00:00Z,0,0,0,0,0,0
1992-12-24T00:00:00Z,0,0,0,0,0,0
1992-12-25T00:00:00Z,0,0,0,0,0,0
1992-12-26T00:00:00Z,0,0,0,0,0,0
1992-12-27T00:00:00Z,12.770117,148.27911,12.176991,12.770117,148.27911,12.176991
1992-12-28T00:00:00Z,45.484196,430.7611,20.754786,45.484196,430.7611,20.754786
1992-12-29T00:00:00Z,43.617268,186.16045,13.644063,43.617268,186.16045,13.644063
1992-12-30T00:00:00Z,14.045637,35.097908,5.924349,14.045637,35.097908,5.924349
1992-12-31T00:00:00Z,2.0377262,7.827415,2.7977517,2.0377262,7.827415,2.7977517
1993-01-01T00:00:00Z,6.829703,2.89406,1.7011937,6.829703,2.89406,1.7011937
1993-01-02T00:00:00Z,7.8956375,18.55251,4.3072624,7.8956375,18.55251,4.3072624
1993-01-03T00:00:00Z,0,0,0,0,0,0
1993-01-04T00:00:00Z,0,0,0,0,0,0
1993-01-05T00:00:00Z,10.263884,7.3400617,2.7092547,10.263884,7.3400617,2.7092547
1993-01-06T00:00:00Z,19.5865,78.03181,8.833562,19.5865,78.03181,8.833562
1993-01-07T00:00:00Z,26.39444,34.00572,5.8314424,26.39444,34.00572,5.8314424
1993-01-08T00:00:00Z,3.965953,0.6440017,0.80249715,3.965953,0.6440017,0.80249715
1993-01-09T00:00:00Z,7.3416667,35.585636,5.9653697,7.3416667,35.585636,5.9653697
1993-01-10T00:00:00Z,1.9682297,0.08825407,0.29707587,1.9682297,0.08825407,0.29707587
1993-01-11T00:00:00Z,3.572602,19.618471,4.4292746,3.572602,19.618471,4.4292746
1993-01-12T00:00:00Z,10.775228,139.18729,11.797766,10.775228,139.18729,11.797766
