Time,InitRow,InitColumn,InitPercentConifer,WindSpeed,WindDirection,FireWeatherIndex,TotalSites,CohortsKilled,MeanSeverity,
1, 81, 87, 0, 0, 0, NaN, 0, 0, 0, 
1, 81, 88, 0, 0, 0, NaN, 0, 0, 0, 
1, 80, 88, 0, 0, 0, NaN, 0, 0, 0, 
1, 92, 35, 0, 0, 0, NaN, 0, 0, 0, 
1, 93, 35, 0, 0, 0, NaN, 0, 0, 0, 
1, 94, 35, 0, 0, 0, NaN, 0, 0, 0, 
1, 95, 35, 0, 0, 0, NaN, 0, 0, 0, 
1, 95, 36, 0, 0, 0, NaN, 0, 0, 0, 
1, 95, 37, 0, 0, 0, NaN, 0, 0, 0, 
1, 93, 66, 0, 0, 0, NaN, 0, 0, 0, 
1, 93, 65, 0, 0, 0, NaN, 0, 0, 0, 
1, 94, 65, 0, 0, 0, NaN, 0, 0, 0, 
1, 94, 66, 0, 0, 0, NaN, 0, 0, 0, 
1, 95, 66, 0, 0, 0, NaN, 0, 0, 0, 
1, 95, 65, 0, 0, 0, NaN, 0, 0, 0, 
1, 65, 82, 0, 0, 0, NaN, 0, 0, 0, 
1, 65, 83, 0, 0, 0, NaN, 0, 0, 0, 
1, 66, 83, 0, 0, 0, NaN, 0, 0, 0, 
1, 66, 82, 0, 0, 0, NaN, 0, 0, 0, 
1, 67, 82, 0, 0, 0, NaN, 0, 0, 0, 
1, 67, 83, 0, 0, 0, NaN, 0, 0, 0, 
1, 35, 51, 0, 0, 0, NaN, 0, 0, 0, 
1, 36, 51, 0, 0, 0, NaN, 0, 0, 0, 
1, 36, 50, 0, 0, 0, NaN, 0, 0, 0, 
1, 36, 49, 0, 0, 0, NaN, 0, 0, 0, 
1, 36, 48, 0, 0, 0, NaN, 0, 0, 0, 
