,eco1,eco2,eco3,eco4,eco5,eco6,eco8,eco9,eco10,eco11,eco1,eco2,eco3,eco4,eco5,eco6,eco8,eco9,eco10,eco11,eco1,eco2,eco3,eco4,eco5,eco6,eco8,eco9,eco10,eco11
TIMESTEP,MEAN(DEGREES),MEAN(DEGREES),MEAN(DEGREES),MEAN(DEGREES),MEAN(DEGREES),MEAN(DEGREES),MEAN(DEGREES),MEAN(DEGREES),MEAN(DEGREES),MEAN(DEGREES),VARIANCE(DEGREES^2),VARIANCE(DEGREES^2),VARIANCE(DEGREES^2),VARIANCE(DEGREES^2),VARIANCE(DEGREES^2),VARIANCE(DEGREES^2),VARIANCE(DEGREES^2),VARIANCE(DEGREES^2),VARIANCE(DEGREES^2),VARIANCE(DEGREES^2),STD_DEV(DEGREES),STD_DEV(DEGREES),STD_DEV(DEGREES),STD_DEV(DEGREES),STD_DEV(DEGREES),STD_DEV(DEGREES),STD_DEV(DEGREES),STD_DEV(DEGREES),STD_DEV(DEGREES),STD_DEV(DEGREES)
1979-04-12T00:00:00Z,212.301909,219.403711,208.448278,210.999982,220.945669,203.635989,206.447537,207.840371,213.242914,203.779413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-04-13T00:00:00Z,191.522603,195.781497,193.720237,194.742625,201.754409,194.203497,192.483119,192.635409,197.409438,192.554926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-04-14T00:00:00Z,291.638613,298.418377,290.039637,294.508794,298.289546,289.349771,285.565355,290.964059,296.859447,286.653537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-04-15T00:00:00Z,305.587036,310.912338,301.069533,308.987122,306.139206,298.620697,293.255223,302.045158,310.006506,293.816587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-04-16T00:00:00Z,321.854526,326.454599,319.112889,326.782443,321.843169,315.253021,311.126547,318.284072,327.033729,311.98545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-04-17T00:00:00Z,332.973282,337.526515,331.238425,339.0363,333.758822,324.682782,323.146281,328.323439,339.822709,322.895592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-04-18T00:00:00Z,240.709987,215.278954,247.424634,177.065876,269.449354,335.893532,327.35321,304.367662,202.816949,341.578894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-04-19T00:00:00Z,40.5451,51.958924,105.907686,51.171719,123.738442,138.187576,105.222989,80.254101,63.027719,142.383284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-04-20T00:00:00Z,195.431456,191.725813,188.778629,189.650639,179.168689,187.166421,180.112773,194.802753,186.155284,192.186846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-04-21T00:00:00Z,200.8876,190.718594,199.525757,192.832614,200.710101,213.94874,207.23445,207.062398,191.089865,209.620602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
